"player","TPE","positon","League","Team_Name","Created.Season"
"Leo Komarov",373,"CL","PBE","Vancouver Vandals","S9"
"Hunter Harrison",958,"3B","PBE","Vancouver Vandals","S8"
"Isidore Fox",590,"CF","PBE","Vancouver Vandals","S8"
"Joshua Linton",271,"2B","PBE","Vancouver Vandals","S7"
"Arbin Asipi Jr",762,"SS","PBE","Vancouver Vandals","S7"
"Kosuke Yamauchi",272,"CP","PBE","Vancouver Vandals","S7"
"Coreys Brother",657,"SP","PBE","Vancouver Vandals","S7"
"Huki Hawaii",979,"C","PBE","Vancouver Vandals","S6"
"Archer Fisch",445,"SS","PBE","Providence Crabs","S10"
"Orin Valeryn",124,"CL","PBE","Providence Crabs","S10"
"A.C. Payton",523,"SP","PBE","Providence Crabs","S10"
"Chip Bowman",337,"SP","PBE","Providence Crabs","S10"
"Detective Wooloo",372,"SP","PBE","Providence Crabs","S10"
"Yamcha Pu'ar",366,"CL","PBE","Providence Crabs","S9"
"Artem Maximovich",630,"C","PBE","Providence Crabs","S9"
"Jahseh Tentacion",733,"C","PBE","Providence Crabs","S9"
"Richard Small",653,"LF","PBE","Providence Crabs","S9"
"John BIII",169,"CL","PBE","Providence Crabs","S9"
"Fenway Turner",430,"RF","PBE","Providence Crabs","S9"
"Kyle Bellinger",625,"2B","PBE","Providence Crabs","S9"
"Chase Petten",241,"SP","PBE","Providence Crabs","S9"
"Dexter Paquette",541,"LF","PBE","Providence Crabs","S7"
"Pete Peters",518,"SP","PBE","Providence Crabs","S6"
"Jarrod Saltamacchia",100,"C","PBE","Outer Banks Aviators","S12"
"Falco Von Adler",384,"CL","PBE","Outer Banks Aviators","S11"
"Manto Rune",394,"3B","PBE","Outer Banks Aviators","S10"
"Chris Gentry",411,"SP","PBE","Outer Banks Aviators","S10"
"Mitch McIntyre",430,"SP","PBE","Outer Banks Aviators","S9"
"Colton Hagan",239,"SP","PBE","Outer Banks Aviators","S7"
"Alyssa Elliot",259,"SP","PBE","Outer Banks Aviators","S7"
"Johnathon Livingston",1024,"CL","PBE","Outer Banks Aviators","S7"
"JJ Windsor",908,"CL","PBE","Outer Banks Aviators","S7"
"Jordan von Matt",1029,"LF","PBE","Outer Banks Aviators","S6"
"Ben Waters",260,"2B","PBE","Outer Banks Aviators","S5"
"Billy Benson",1368,"C","PBE","Outer Banks Aviators","S5"
"Kimetrius Webster",741,"2B","PBE","Outer Banks Aviators","S5"
"Mookie Banks",1456,"SP","PBE","Outer Banks Aviators","S4"
"Takumi Fujiwara",315,"2B","PBE","Outer Banks Aviators","S4"
"Joey Slothface",319,"SP","PBE","New York Voyagers","S11"
"Dan Wilinsky",322,"SP","PBE","New York Voyagers","S10"
"Bartolo Pizza",454,"CL","PBE","New York Voyagers","S10"
"Justin Verbeek",191,"CL","PBE","New York Voyagers","S9"
"Adrian Kaine",211,"SP","PBE","New York Voyagers","S9"
"Mitchell McDowell",288,"SP","PBE","New York Voyagers","S9"
"Ulysses Rove",895,"SS","PBE","New York Voyagers","S8"
"Tristan Cameron",450,"LF","PBE","New York Voyagers","S7"
"Toledo Jones",483,"1B","PBE","New York Voyagers","S6"
"Rye Tiffielder",382,"RF","PBE","New York Voyagers","S6"
"Louis Storm",1115,"2B","PBE","New York Voyagers","S6"
"Adam Squiggly",357,"CL","PBE","New York Voyagers","S6"
"Ryan Stryker",1276,"SP","PBE","New York Voyagers","S5"
"Weldon Borthwell",1579,"3B","PBE","New York Voyagers","S4"
"Clem Johnson",1653,"2B","PBE","New York Voyagers","S4"
"Henry Chadwick",377,"SP","PBE","Death Valley Scorpions","S11"
"Harry Styles",382,"CL","PBE","Death Valley Scorpions","S11"
"Paco Dunbar",139,"CL","PBE","Death Valley Scorpions","S10"
"Ed Barker",561,"SP","PBE","Death Valley Scorpions","S10"
"Mountain Thunderfist",273,"1B","PBE","Death Valley Scorpions","S10"
"Firstname Lastname",778,"C","PBE","Death Valley Scorpions","S9"
"Corey Bradford",129,"RP","PBE","Death Valley Scorpions","S8"
"Frederick Birdington",941,"SP","PBE","Death Valley Scorpions","S8"
"Amp Bogart",835,"RF","PBE","Death Valley Scorpions","S7"
"Catolo Kittone",723,"C","PBE","Death Valley Scorpions","S6"
"Speedy Boi",1163,"LF","PBE","Death Valley Scorpions","S5"
"Guy Walker",1378,"SP","PBE","Death Valley Scorpions","S5"
"Jimmy Dong",1579,"CF","PBE","Death Valley Scorpions","S5"
"Paulo Di Stephano",1756,"RF","PBE","Death Valley Scorpions","S3"
"Ziggy Coffey",1026,"1B","PBE","Death Valley Scorpions","S1"
"Bruce Thursday",215,"CL","PBE","Utah Railroaders","S11"
"Hisoka Ito",108,"CL","PBE","Utah Railroaders","S11"
"Holden MaGroin",141,"CL","PBE","Utah Railroaders","S10"
"Blake Faux",496,"SP","PBE","Utah Railroaders","S10"
"Bryan Barnes",537,"3B","PBE","Utah Railroaders","S10"
"Colben Fairborn",550,"CL","PBE","Utah Railroaders","S10"
"Jake Grinz",541,"SS","PBE","Utah Railroaders","S10"
"Alain Johns",663,"CF","PBE","Utah Railroaders","S9"
"JD Jacks",760,"SS","PBE","Utah Railroaders","S9"
"D.J. Steele",723,"2B","PBE","Utah Railroaders","S9"
"Seth Crossland",754,"CF","PBE","Utah Railroaders","S9"
"Dorothy Morimura",770,"RF","PBE","Utah Railroaders","S9"
"Mikhail Bergen",967,"SP","PBE","Utah Railroaders","S7"
"Micheal Lang",443,"SP","PBE","Utah Railroaders","S7"
"Ace Faulkner",444,"SP","PBE","Utah Railroaders","S6"
"Drennifer Tarbington",188,"CL","PBE","Florida Space Rangers","S11"
"Mark Taylor",283,"SP","PBE","Florida Space Rangers","S11"
"Mountain Quick",371,"C","PBE","Florida Space Rangers","S11"
"Speedy Gonzales",589,"2B","PBE","Florida Space Rangers","S10"
"J.A. Jabs",750,"SP","PBE","Florida Space Rangers","S9"
"Chanandler Bong",496,"1B","PBE","Florida Space Rangers","S9"
"John DeMars",818,"RF","PBE","Florida Space Rangers","S8"
"Barry Keller",1056,"SP","PBE","Florida Space Rangers","S7"
"Alexander Blitz",734,"SS","PBE","Florida Space Rangers","S7"
"Jax Hunter",724,"RP","PBE","Florida Space Rangers","S6"
"George McBash",936,"1B","PBE","Florida Space Rangers","S6"
"Nate Piazza",739,"C","PBE","Florida Space Rangers","S5"
"Michael O'Dowd",141,"CL","PBE","Florida Space Rangers","S4"
"Trent Boult",666,"SP","PBE","Florida Space Rangers","S4"
"Hawk Russell",769,"LF","PBE","Florida Space Rangers","S4"
"Ash Dragon",432,"CF","PBE","San Antonio Sloths","S10"
"Patrick Kelley",966,"SS","PBE","San Antonio Sloths","S8"
"Yeliboy Uecker",690,"RF","PBE","San Antonio Sloths","S8"
"Brock Lobster",151,"RP","PBE","San Antonio Sloths","S7"
"Dionte Washington",144,"CL","PBE","San Antonio Sloths","S6"
"Bobby Hill",1087,"SP","PBE","San Antonio Sloths","S6"
"Damien Walec",364,"SP","PBE","San Antonio Sloths","S6"
"Anderson Pooper",910,"SP","PBE","San Antonio Sloths","S5"
"Omar Wright",198,"SP","PBE","San Antonio Sloths","S4"
"Matthew Auston",643,"SP","PBE","San Antonio Sloths","S3"
"Khamati Kahn",852,"SP","PBE","San Antonio Sloths","S2"
"Roger Baton",898,"2B","PBE","San Antonio Sloths","S2"
"Simon Hans",1164,"3B","PBE","San Antonio Sloths","S2"
"Chuck Gamble",480,"CL","PBE","San Antonio Sloths","S1"
"Chaz LaLocke",560,"SP","PBE","San Antonio Sloths","S1"
